PROJECT: West SM																		
GC:																		
PM: Karina																		
ID:																		
PROJECT:																		
NOTES:																		
↩ Symbol																		
Gray rows represent bottom line costs. If only single gray line, only a single item was purchased via respective PO #. White rows above gray bottom line is itemized list per PO #.																		
																		
PO/ Order #:	Create Date:	Vendor Name:	Card #:	Order Sub Total:	Shipping/ Handling:	Delivery:	Tax:	Grand Total:	Trade Adjustment:	Item:	Shipped to:	Tracking Information:	Notes:	Arrived:	Return/Change Order:	Refund Confirmed	Change Comments:	Purchased By:
184673	06/13/2023	Maiden Home	Visa 8960	 $ 6,225.00 	 $ 145.00 	 $ -   	 $ -   	 $ 6,370.00 	 $ -   	(5) Delancey with Onyx - Nubuck Leather Sail Bar and Counter Stool	N/A	Thursday Aug. 17	Shipping to warehouse	TRUE	TRUE	TRUE		
								 $ (5,603.00)			N/A			TRUE	TRUE	TRUE		
JG0613230844349519004	6/13/2023	Lamps Plus	Visa 8960	 $ 1,531.56 	 $ -   	 $ -   	 $ 107.22 	 $ 1,638.78 	 $ (228.84)	(3) 52" Matthews Irene-3H Walnut Bronze Damp Hugger Fan with Remote	2780 Warehouse		June 21-28 ; Shipping to warehouse	TRUE	FALSE	FALSE		
1765-1538	6/13/2023	Apparatus	Visa 8960	 $ 2,720.00 	 $ -   	 $ -   	 $ -   	 $ 2,720.00 	 $ (960.00)	(1) Metronome Table Lamp in Aged Brass, Suede Pewter	2780 Warehouse	ETA: October 16	1/2 paid up front, 1/2 + tax on delivery to be paid later	TRUE	FALSE	FALSE		
	9/12/2023	Apparatus	Visa 9907					 $ 3,417.40 		"	2780 Warehouse	https://www.ups.com/track?loc=en_US&tracknum=1Z9935414296257257&requester=ST/trackdetails	2nd half of payment + tax for item completion. Shipped to warehouse.	TRUE	FALSE	FALSE		
18Q872510	6/16/2023	Visual Comfort	Visa 8960	 $ 4,437.60 	 $ -   	 $ -   	 $ 310.64 	 $ 4,748.24 		(3) Cara Medium Sculpted Pendant in Natural Brass with Plaster White Shade	306 West San Marino Drive	Expected to ship by 7/30/23 URL: https://www.visualcomfort.com/orderview/orders/view/id/18798752/	Notified Andrea and Karina on 7/21 of its next day delivery to site	TRUE	FALSE	FALSE		
#231004				 $ 503.15 						(1) SUPER BRONZE SATIN HANDLE	LS MIA Office			TRUE	FALSE	FALSE		
#231004				 $ 155.55 						(1) SUPER BRONZE SATIN PRIVACY	LS MIA Office			TRUE	FALSE	FALSE		
#231004				 $ 301.09 						(2) SUPER BRONZE SATIN HANDLE	LS MIA Office			TRUE	FALSE	FALSE		
#231004	10/04/2023	Olivari	BANK WIRE	 $ 959.78 	 $ 120.00 	 $ -   	 $ 67.18 	 $ 1,146.97 		↩	LS MIA Office			TRUE	FALSE	FALSE		
32010	06/26/2023	Lindsey Studio	Bank Wire	 $ 39,600.00 			 $ -   	 $ 16,830.00 	 $ (5,940.00)	(1) 11 Light Branching Disc Chandelier	2780 Warehouse	Delivery ETA Nov 28 to warehouse	Deposit of order. Total to be $36,625	TRUE	FALSE	FALSE		
32010	11/13/2023	Lindsey Studio	Visa 9907		 $ 1,370.00 	 $ 1,595.00 		 $ 19,795.00 		(1) 11 Light Branching Disc Chandelier	2780 Warehouse	https://www.sekologistics.com/us/track/?trackingNumbers=3905841	100% payment completion	TRUE	FALSE	FALSE		
								 $ (535.00)		$535 REFUND on shipping recalculation	N/A			FALSE	TRUE	FALSE	Refund on recalculated shipping from change in address	
2210270005	6/23/2023	Minotti	Bank Wire	 $ 118,597.94 	 $ 4,987.00 		 $ 8,107.83 	 $ 59,298.47 		Huge Minotti order		READY TO SHIP ;; https://www.ddcnyc.com/order-tracking/?order=2306260001	Deposit of order. Total to be $118,597.94	FALSE	FALSE	FALSE		
TICLS150623	6/23/2023	Invisible Collection	Bank Wire	 $ 67,572.00 	 $ 4,500.00 	 $ 900.00 		 $ 33,787.50 	 $ (6,908.00)	2 Cuprite d'Eau Coffee Tables, different sizes		READY TO SHIP	Deposit of order.	FALSE	FALSE	FALSE		
										RESERVED FOR CUPRITE remaiing balance				FALSE	FALSE	FALSE		
226001/45	6/20/2023	Artefacto	Bank Wire	 $ 16,415.00 	 $ 738.68 	 $ -   	 $ 1,085.85 	 $ 16,598.03 	 $ (1,641.50)	(1) Art Buffet	2780 Warehouse	ETA Jan 5 to warehouse.	Paid in full upfront	TRUE	FALSE	FALSE		
221609/45	6/20/2023	Artefacto	Bank Wire	 $ 20,918.74 	 $ 941.33 	 $ -   	 $ 1,383.77 	 $ 9,413.43 	 $ (2,091.89)	Orfei Sofa Modules	2780 Warehouse	ETA Jan 5 to warehouse.	Deposit of order. Total to be $21,151.96	TRUE	FALSE	FALSE		
221609/45	11/13/2023	Artefacto	Bank Wire					 $ 11,738.55 		Orfei Sofa Modules	2780 Warehouse	ETA Jan 5 to warehouse.	100% payment completion	TRUE	FALSE	FALSE		
2373	6/23/2023	James D	Bank Wire					 $ 13,691.00 		Exo Dining Table	TBD	N/A until we pay for completion	50% deposit, need to complete remaning balance.	FALSE	FALSE	FALSE		
2373	12/5/2023	James D	Bank Wire					 $ 13,991.00 		Exo Dining Table Payment Completion	TBD	READY TO SHIP	Remaining 50% deposit on Exo Dining	FALSE	FALSE	FALSE		
#21518	11/3/2023	Spartan Shop	Visa 9907	 $ 1,800.00 	 $ -   	 $ -   	 $ -   	 $ 1,800.00 	 $ (200.00)	(2) Arundel Low Table Lamp - Bone	2780 Warehouse	https://www.fedex.com/fedextrack/?trknbr=786057437631&trkqual=12026~786057437631~FDEG	Confirmation #FKUDEG5RD; shipped to warehouse	TRUE	FALSE	FALSE		
ST525992-1	11/6/2023	Holly H	Bank Wire	 $ 13,000.00 		 $ 490.00 	 $ 944.30 	 $ 14,434.30 		(4) Turah Stool	2780 Warehouse	12-16 weeks from date of payment.	Paid in full, still need to pay shipping cost	FALSE	FALSE	FALSE		
ST525992-1	11/13/2023	Holly H	Bank Wire		 $ 735.00 			 $ 735.00 		Shipping for Turah Stools	2780 Warehouse			FALSE	FALSE	FALSE		
#205	11/6/2023	Trazos	Bank Wire	 $ 6,609.30 	 $ -   	 $ -   	 $ -   	 $ 6,609.30 		(1) Bed with headboard fabrication	TBD		Invoice paid in full. Shipping TBD?	FALSE	FALSE	FALSE		
#204	11/6/2023	Trazos	Bank Wire	 $ 3,017.30 	 $ -   	 $ -   	 $ -   	 $ 3,017.30 		(1) Dining chair fabrication	TBD		Invoice paid in full. Shipping TBD?	FALSE	FALSE	FALSE		
#2495744	11/6/2023	Rove Concepts	Visa 9907	 $ 2,427.43 	 $ -   	 $ 479.00 	 $ 110.45 	 $ 2,167.28 	 $ (849.60)	(1) Athena Sideboard in Alabaster Matte Lacquer	2780 Warehouse	Friday, Nov 17, 9-1PM	Shipping to warehouse	TRUE	FALSE	FALSE		
92907752	11/06/2023	1stDibs	Visa 9907	 $ 5,128.07 	 $ 2,999.00 	 $ -   	 $ 567.61 	 $ 8,694.68 	 $ (905.60)	(1) Beige Boucle Fabric and Brass Finishes Swivel and Curved Armchair	2780 Warehouse	7-8 weeks production, 4-8 weeks shipping		FALSE	FALSE	FALSE		
92913022	11/6/2023	1stDibs	Visa 9907	 $ 10,488.00 	 $ -   	 $ -   	 $ 584.84 	 $ 9,498.84 	 $ (4,573.00)	(1) Weave Double Sided Credenza in Smoked Oak Wood finish	2780 Warehouse	14 weeks plus 3-7 weeks shipping		FALSE	FALSE	FALSE		
OFF.23.00490	11/6/2023	Solesdi	Bank Wire					 $ 33,938.31 		(1) Slim Side Table			60% deposit paid. 40% remaining.	FALSE	FALSE	FALSE		
QUOTE 23/3662	11/06/2023	Kolkhoze	Bank Wire					 $ 15,570.25 		(1) Palassun Sideboard	2780 Warehouse	14-16 weeks lead time after deposit.	50% deposit paid. 50% remaining.	FALSE	FALSE	FALSE		
SALE-G3980	11/07/2023	galleryALL	Bank Wire					 $ 7,650.00 		(1) MAD Martian Suspension Light	306 West San Marino Drive	12-16 week lead time from deposit.	Shipping to site. 50% deposit paid. 50% remaining + shipping, customs etc	FALSE	FALSE	FALSE		
MI-MS-00538	11/8/2023	Molteni	Bank Wire					 $ 2,036.25 		(2) Teorema Single Drawer Units in American Walnut with Chrome Handle	2780 Warehouse	REQUESTED to ship to Ebano	50% deposit paid. 50% remaining.	FALSE	FALSE	FALSE		
42713	11/08/2023	Apparatus	Visa 9907	 $ 4,896.00 	 $ 566.00 	 $ -   	 $ 382.34 	 $ 5,844.35 		(1) Lariat Pendant	306 West San Marino Drive	Estimated to finish and ship around 2/28	FULLY PAID.	FALSE	FALSE	FALSE		
QO13292	11/9/2023	FAIR	Bank Wire					 $ 22,100.00 		(1) Christopher Kurtz CK Console Custom with Bronze Drawers, in Ebonized Oak with Satin Finish	2780 Warehouse	20-22 weeks lead time from purchase date	ETA end of March, early April. 	FALSE	FALSE	FALSE		
QO13336	11/9/23	FAIR	Bank Wire					 $ 7,820.00 		(1) Bieke Out of Line Coffee Table in Organic Shape, Model 189 in Petrol Blue	2780 Warehouse	READY TO SHIP	Invoice paid in full. Shipping to warehouse.	FALSE	FALSE	FALSE		
SO02769	12/28/23	FAIR	Bank Wire		 $ 2,300.00 			 $ 2,300.00 		Air Freight for Bieke Coffee Table	2780 Warehouse	↩	Paid in full.	FALSE	FALSE	FALSE		
2311090004	11/16/23	Minotti	Bank Wire	 $ 26,991.00 	 $ 1,700.00 	 $ 1,000.00 	 $ 2,078.37 	 $ 15,884.68 	 $ (8,997.00)	(1) Lawrence Bed Custom	2780 Warehouse	4-5 months lead time after deposit.	50% of deposit paid. 50% exactly remaining. Negotiated additional 5% off -- ooh yeah!	FALSE	FALSE	FALSE		
	11/27/23	Casamance Group	Visa 9907					 $ 1,539.00 		7 Yards of PEINTURES DE PAIX GRIS DE MAURE Fabric for Trazos Dining Chair Fabrication	Trazos, Guatemala	DHL: 2135725141	Sent to Regina from Trazos	TRUE	FALSE	FALSE		
95041342	11/28/23	1stDibs	Visa 9907	 $ 1,173.00 	 $ 255.00 		 $ 91.75 	 $ 1,274.95 	 $ (117.30)	(1) Black Marble Peono Table Lamp by Simone & Marcel	2780 Warehouse	ETA February 7-16	Paid in full	FALSE	FALSE	FALSE		
	11/28/23	Joseph Carini Carpets	Bank Wire					 $ 15,860.00 		50% DEPOSIT: Bella Dream Rug	306 West San Marino Drive	Early-mid February ETA	Remaning due, 50%: 15,860	FALSE	FALSE	FALSE		
										PLACEHOLDER FOR BELLA DREAM	306 West San Marino Drive			FALSE	FALSE	FALSE		
SV1128231341504279004	11/28/23	Lamps Plus	Visa 9907	 $ 1,173.60 	 $ -   	 $ -   	 $ 71.48 	 $ 1,092.52 	 $ (152.56)	(2) 52" Matthews Irene-3H Bronze-Walnut Damp Hugger Fan with Remote	2780 Warehouse	Backorder ;; FedEx: 705422960648 ;; https://lampsplus.letslinc.com/tracking?shop_id=d1bc51c8-5273-11e5-a4a8-22000ae403bc&v=3&o=SV1128231341504279004&e=procurement@legeardstudio.com&source=order&m=tracking&locale=en_US&utm_campaign=lampsplus&utm_source=order&utm_medium=email	Sent to warehouse. Delivered 12/5	TRUE	FALSE	FALSE		
3653NY	11/29/23	RugArt	Bank Wire	 $ 11,760.00 	 $ -   	 $ -   	 $ -   	 $ 5,880.00 	 $ -   	50% DEPOSIT: Newland Rug	306 West San Marino Drive		Shipping TBD	FALSE	FALSE	FALSE		
3652NY	11/29/23	RugArt	Bank Wire	 $ 3,123.00 	 $ -   	 $ -   	 $ -   	 $ 1,561.50 		50% DEPOSIT: Crete Rug	306 West San Marino Drive		Shipping TBD	FALSE	FALSE	FALSE		
ST527400-1		Holly H	Bank Wire	 $ 27,540.00 						(1) Custom Angles Rug	2780 Warehouse			FALSE	FALSE	FALSE		
ST527400-1		Holly H	Bank Wire	 $ 16,900.00 						(1) Custom Angles Rug	2780 Warehouse			FALSE	FALSE	FALSE		
ST527400-1	11/29/23	Holly H	Bank Wire	 $ 44,440.00 	 TBD 	 TBD 	 $ 2,766.40 	 $ 23,603.20 		↩ 50% DEPOSIT	2780 Warehouse		Remaning due 50% + shipping TBD	FALSE	FALSE	FALSE		
